occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
191	872	5	1	0xE52	0x4E	187680	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
192	872	5	1	0xE53	0x23	187830	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
193	872	5	1	0xE54	0xD7	187920	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
194	872	5	1	0x10	0xDD	188085	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
195	872	5	1	0x14	0x28	188385	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
196	872	5	1	0x16	0x18	188490	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
197	872	5	1	0x28	0xF5	188670	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
198	872	5	1	0x29	0xCF	188835	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
199	872	5	1	0x8	0x3A	189000	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
200	872	5	1	0xB	0x87	189195	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
201	872	5	1	0xC	0x38	189255	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
202	872	5	1	0xE	0xC9	189360	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
203	872	5	1	0x2A	0xF1	189510	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
204	872	5	1	0x2B	0x32	189660	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
205	872	5	1	0x2E	0xF5	189855	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
206	872	5	1	0x2F	0xCF	190020	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
207	872	5	1	0x8	0x3A	190185	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
208	872	5	1	0xB	0x87	190380	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
209	872	5	1	0xC	0x38	190440	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
210	872	5	1	0xE	0xC9	190545	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
211	872	5	1	0x30	0x79	190695	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
212	872	5	1	0x31	0x32	190755	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
213	872	6	1	0x34	0xF1	190950	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
214	872	6	1	0x35	0xC9	191100	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
215	872	6	1	0xE55	0xC6	191250	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
216	872	6	1	0xE57	0x10	191355	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
217	872	6	1	0xE52	0x4E	191550	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
218	872	6	1	0xE53	0x23	191700	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
219	872	6	1	0xE54	0xD7	191790	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
220	872	6	1	0x10	0xDD	191955	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
221	872	6	1	0x14	0x28	192255	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
222	872	6	1	0x16	0x18	192360	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
223	872	6	1	0x28	0xF5	192540	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
224	872	6	1	0x29	0xCF	192705	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
225	872	6	1	0x8	0x3A	192870	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
226	872	6	1	0xB	0x87	193065	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
227	872	6	1	0xC	0x38	193125	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
228	872	6	1	0xE	0xC9	193230	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
229	872	6	1	0x2A	0xF1	193380	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
230	872	6	1	0x2B	0x32	193530	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
231	872	6	1	0x2E	0xF5	193725	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
232	872	6	1	0x2F	0xCF	193890	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
233	872	6	1	0x8	0x3A	194055	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
234	872	6	1	0xB	0x87	194250	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
235	872	6	1	0xC	0x38	194310	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
236	872	6	1	0xE	0xC9	194415	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
237	872	6	1	0x30	0x79	194565	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
238	872	6	1	0x31	0x32	194625	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
239	872	7	1	0x34	0xF1	194820	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
240	872	7	1	0x35	0xC9	194970	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
241	872	7	1	0xE55	0xC6	195120	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
242	872	7	1	0xE57	0x10	195225	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
243	872	7	1	0xE52	0x4E	195420	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
244	872	7	1	0xE53	0x23	195570	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
245	872	7	1	0xE54	0xD7	195660	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
246	872	7	1	0x10	0xDD	195825	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
247	872	7	1	0x14	0x28	196125	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
248	872	7	1	0x16	0x18	196230	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
249	872	7	1	0x28	0xF5	196410	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
250	872	7	1	0x29	0xCF	196575	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
251	872	7	1	0x8	0x3A	196740	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
252	872	7	1	0xB	0x87	196935	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
253	872	7	1	0xC	0x38	196995	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
254	872	7	1	0xE	0xC9	197100	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
255	872	7	1	0x2A	0xF1	197250	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
256	872	7	1	0x2B	0x32	197400	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
257	872	7	1	0x2E	0xF5	197595	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
258	872	7	1	0x2F	0xCF	197760	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
259	872	7	1	0x8	0x3A	197925	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
260	872	7	1	0xB	0x87	198120	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
261	872	7	1	0xC	0x38	198180	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
262	872	7	1	0xE	0xC9	198285	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
263	872	7	1	0x30	0x79	198435	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
264	872	7	1	0x31	0x32	198495	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
265	872	8	1	0x34	0xF1	198690	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
266	872	8	1	0x35	0xC9	198840	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
267	872	8	1	0xE55	0xC6	198990	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
268	872	8	1	0xE57	0x10	199095	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
269	872	8	1	0xE52	0x4E	199290	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
270	872	8	1	0xE53	0x23	199440	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
271	872	8	1	0xE54	0xD7	199530	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
272	872	8	1	0x10	0xDD	199695	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
273	872	8	1	0x14	0x28	199995	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
274	872	8	1	0x16	0x18	200100	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
275	872	8	1	0x28	0xF5	200280	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
276	872	8	1	0x29	0xCF	200445	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
277	872	8	1	0x8	0x3A	200610	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
278	872	8	1	0xB	0x87	200805	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
279	872	8	1	0xC	0x38	200865	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
280	872	8	1	0xE	0xC9	200970	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
281	872	8	1	0x2A	0xF1	201120	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
282	872	8	1	0x2B	0x32	201270	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
283	872	8	1	0x2E	0xF5	201465	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
284	872	8	1	0x2F	0xCF	201630	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
285	872	8	1	0x8	0x3A	201795	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
286	872	8	1	0xB	0x87	201990	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
287	872	8	1	0xC	0x38	202050	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
288	872	8	1	0xE	0xC9	202155	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
289	872	8	1	0x30	0x79	202305	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
290	872	8	1	0x31	0x32	202365	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
291	872	9	1	0x34	0xF1	202560	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
292	872	9	1	0x35	0xC9	202710	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
293	872	9	1	0xE55	0xC6	202860	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
294	872	9	1	0xE57	0x10	202965	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
295	872	9	1	0xE52	0x4E	203160	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
296	872	9	1	0xE53	0x23	203310	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
297	872	9	1	0xE54	0xD7	203400	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
298	872	9	1	0x10	0xDD	203565	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
299	872	9	1	0x14	0x28	203865	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
300	872	9	1	0x16	0x18	203970	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
301	872	9	1	0x28	0xF5	204150	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
302	872	9	1	0x29	0xCF	204315	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
303	872	9	1	0x8	0x3A	204480	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
304	872	9	1	0xB	0x87	204675	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
305	872	9	1	0xC	0x38	204735	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
306	872	9	1	0xE	0xC9	204840	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
307	872	9	1	0x2A	0xF1	204990	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
308	872	9	1	0x2B	0x32	205140	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
309	872	9	1	0x2E	0xF5	205335	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
310	872	9	1	0x2F	0xCF	205500	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
311	872	9	1	0x8	0x3A	205665	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
312	872	9	1	0xB	0x87	205860	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
313	872	9	1	0xC	0x38	205920	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
314	872	9	1	0xE	0xC9	206025	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
315	872	9	1	0x30	0x79	206175	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
316	872	9	1	0x31	0x32	206235	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
317	872	10	1	0x34	0xF1	206430	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
318	872	10	1	0x35	0xC9	206580	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
319	872	10	1	0xE55	0xC6	206730	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
320	872	10	1	0xE57	0x10	206835	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
321	872	10	1	0xE52	0x4E	207030	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
322	872	10	1	0xE53	0x23	207180	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
323	872	10	1	0xE54	0xD7	207270	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
324	872	10	1	0x10	0xDD	207435	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
325	872	10	1	0x14	0x28	207735	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
326	872	10	1	0x16	0x18	207840	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
327	872	10	1	0x28	0xF5	208020	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
328	872	10	1	0x29	0xCF	208185	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
329	872	10	1	0x8	0x3A	208350	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
330	872	10	1	0xB	0x87	208545	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
331	872	10	1	0xC	0x38	208605	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
332	872	10	1	0xE	0xC9	208710	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
333	872	10	1	0x2A	0xF1	208860	0x2B	150	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
334	872	10	1	0x2B	0x32	209010	0x2E	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
335	872	10	1	0x2E	0xF5	209205	0x2F	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
336	872	10	1	0x2F	0xCF	209370	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
337	872	10	1	0x8	0x3A	209535	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
338	872	10	1	0xB	0x87	209730	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
339	872	10	1	0xC	0x38	209790	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
340	872	10	1	0xE	0xC9	209895	0x30	150	return	target=0x30	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
341	872	10	1	0x30	0x79	210045	0x31	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
342	872	10	1	0x31	0x32	210105	0x34	195	linear	n/a	source_path,busy_poll,ym_write	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
343	872	11	1	0x34	0xF1	210300	0x35	150	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
344	872	11	1	0x35	0xC9	210450	0xE55	150	return	target=0xE55	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
345	872	11	1	0xE55	0xC6	210600	0xE57	105	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
346	872	11	1	0xE57	0x10	210705	0xE52	195	branch	taken	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
347	872	11	1	0xE52	0x4E	210900	0xE53	150	linear	n/a	source_path,bank_wait_3t	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
348	872	11	1	0xE53	0x23	211050	0xE54	90	linear	n/a	source_path	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
349	872	11	1	0xE54	0xD7	211140	0x10	165	call	target=0x10	source_path,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
350	872	11	1	0x10	0xDD	211305	0x14	300	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
351	872	11	1	0x14	0x28	211605	0x16	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
352	872	11	1	0x16	0x18	211710	0x28	180	branch	target=0x28	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
353	872	11	1	0x28	0xF5	211890	0x29	165	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
354	872	11	1	0x29	0xCF	212055	0x8	165	call	target=0x8	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
355	872	11	1	0x8	0x3A	212220	0xB	195	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
356	872	11	1	0xB	0x87	212415	0xC	60	linear	n/a	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
357	872	11	1	0xC	0x38	212475	0xE	105	branch	not_taken	source_path,busy_poll	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
358	872	11	1	0xE	0xC9	212580	0x2A	150	return	target=0x2A	source_path,busy_poll,call_return	s2.sounddriver.asm:343-389,947-1012,2088-2138,2837-2860,3271-3432
